locum	locus
divinae	diuinus2
amoenitatis	amoenitas
recipiendis	recipio
sanctorum	sanctus
spiritibus	spiritus
destinatum	destino
maceria	maceria
igneae	igneus
zonae	zona
notitia	notitia
orbis	orbis
communis	communis
segregatum	segrego
elysii	Elysium
campi	campus1
fidem	fides2
occupaverunt	occupo2
oro	oro
philosophis	philosophus1
poetis	poeta
consimilia	consimilis
nonnisi	nonnitor
sacramentis	sacramentum
sacramentis	sacramentum
prioribus	prior
fideliora	fidelis2
magisque	magis
{magisque}	que
credenda	credo
imagines	imago
fidem	fides2
inveniunt	inuenio
sensibus	sensus
sacramenta	sacramentum
imagines	imago
posteriorum	posterius
forma	forma
sustinet	sustineo
nunquam	numquam
corpus	corpus
umbra	umbra
veritatem	ueritas
imago	imago
praecedit	praecedo1
age	ago
philosophus	philosophus1
adfirmet	affirmo
laberius	laber
sententia	sententia
pythagorae	Pythagoras
hominem	homo
mulo	mulus
colubram	colubra
muliere	mulier
opinionem	opinio
argumenta	argumentum
eloquii	eloquium
virtute	uirtus
distorserit	distorseo
consensum	consensus
movebit	moueo
fidem	fides2
infiget	infigo
animalibus	animal
abstinendi	abstineo
propterea	propterea
persuasum	persuadeo
bubulam	bubula
proavo	proauus
obsonet	obsono1
christianus	christianus1
homine	homo
hominem	homo
gaio	Gaius
gaium	Gaius
reducem	redux
repromittat	repromitto
lapidibus	lapis
saltim	saltem
coetibus	coetus
populo	populus1
exigetur	exigo
ratio	ratio
praeest	praesum1
animarum	anima
humanarum	humanus
reciprocandarum	reciproco
corpora	corpus
substantiam	substantia
redeant	redeo1
restitui	restituo
desinant	desino
locis	locus
otio	otium
opus	opus2
velimus	uolo3
partem	pars
lascivire	lasciuio
bestiam	bestia
reformari	reformo
defensione	defensio
proponimus	propono
dignius	dignus
credi	credo
hominem	homo
homine	homo
rediturum	redeo1
hominem	homo
qualitas	qualitas
animae	anima
restauraretur	restauro
conditionem	conditio
effigiem	effigies
ratio	ratio
restitutionis	restitutio
destinatio	destinatio
iudicii	iudicium
necessario	necessario
exhibebitur	exhibeo
boni	bonus
contrarii	contrarius
meriti	meritum
iudicium	iudicium
deo	deus
referat	refero
ideoque	ideo
{ideoque}	que
repraesentabuntur	repraesento
corpora	corpus
pati	patior
anima	anima
sola	solus
materia	materia
stabili	stabilis
carne	caro1
iudicio	iudicium
dei	deus
pati	patior
debent	debeo
animae	anima
carne	caro1
meruerunt	mereo
egerunt	ago
dissoluta	dissolutus
materia	materia
exhiberi	exhibeo
considera	considero
temetipsum	tenetipsum
o	o
homo	homo
fidem	fides2
invenies	inuenio
recogita	recogito
meminisses	memini
desieris	desino
auctoris	auctor
voluntate	uoluntas
voluit	uolo3
novi	nouus
eveniet	euenio
redde	reddo
rationem	ratio
require	requiro
facilius	facile
aeque	aeque
difficile	difficilis
nunquam	numquam
dubitabitur	dubito
credo	credo
dei	deus
viribus	uis
corpus	corpus
mundi	mundus1
morte	mors
vacationis	uacatio
inanitatis	inanitas
inposuit	impono
animatum	animatus
spiritu	spiritus
animarum	anima
animatore	animator
signatum	signo
humanae	humanus
resurrectionis	resurrectio
exemplum	exemplum
testimonium	testimonium
lux	lux
cotidie	cotidie
interfecta	interficio
resplendet	resplendeo
tenebrae	tenebrae
pari	par2
vice	uicis
decedendo	decedo1
succedunt	succedo1
sidera	sidus
defuncta	defunctus
vivescunt	uiuesco
tempora	tempus1
finiuntur	finio
incipiunt	incipio
fruetus	fruetus
consummantur	consummo
redeunt	redeo1
semina	semen1
corrupta	corrumpo
dissoluta	dissolutus
fecundius	fecunde
surgunt	surgo
pereundo	pereo1
servantur	seruo
interitu	interitus
reformantur	reformo
homo	homo
nomen	nomen
intellegas	intelligo
titulo	titulus
pythiae	pythiao
discens	disco
dominus	dominus
morientium	morior
resurgentium	resurgo
morieris	morior
pereas	pereo1
ubicumque	ubicumque1
resolutus	resoluo
materia	materia
destruxerit	destruo
hauserit	haurio
aboleverit	aboleo
nihilum	nihilum
prodegerit	prodigo
reddet	reddo
nihilum	nihilum
totum	totus
inquitis	inquio
moriendum	morior
resurgendum	resurgo
dominus	dominus
destinasset	destino
ingratis	ingratus
experireris	experior
conditionis	conditio
legem	lex
destinavit	destino
praedicavit	praedico1
ratio	ratio
universitatem	uniuersitas
diversitate	diuersitas
conposuit	compono
aemulis	aemulus1
substantiis	substantia
unitate	unitas
constarent	consto
vacuo	uacuus
solido	solidus2
animali	animal
inanimali	inanimalis
conprehensibili	comprehensibilis
inconprehensibili	incomprehensibilis
luce	lux
tenebris	tenebrae
vita	uita
morte	mors
aevum	aeuum
destinata	destino
distincta	distinctus2
condicione	condicio
conseruit	consero2
prima	primus
pars	pars
exordio	exordium
incolimus	incolo2
temporali	temporalis
aetate	aetas
finem	finis
defluat	defluo
sequens	sequor
expectamus	exspecto
infinitam	infinitus
aeternitatem	aeternitas
propagetur	propago2
finis	finis
limes	limes
medius	medius
interhiat	interhio
adfuerit	assum1
mundi	mundus1
species	species
transferatur	transfero
aeque	aeque
temporalis	temporalis
dispositioni	dispositio
aeternitatis	aeternitas
aulaei	aulaeum
vice	uicis
oppansa	oppando
restituetur	restituo
humanum	humanus
genus	genus1
expungendum	expungo
aevo	aeuum
boni	bonum
mali	malum1
meruit	mereo
exinde	exinde
pendendum	pendo
immensam	immensus
aeternitatis	aeternitas
perpetuitatem	perpetuitas
ideoque	ideo
{ideoque}	que
mors	mors
resurrectio	resurrectio
dei	deus
cultores	cultor
deum	deus
superinduti	superinduo
substantia	substantia
propria	proprius
aeternitatis	aeternitas
profani	profanus
integre	integre
deum	deus
poena	poena
aeque	aeque
iugis	iugum
ignis	ignis
natura	natura
divinam	diuinus2
subministrationem	subministratio
incorruptibilitatis	incorruptibitas
noverunt	nosco
philosophi	philosophus1
diversitatem	diuersitas
arcani	arcanus
publici	publicus2
ignis	ignis
longe	longe
usui	usus
humano	humanus
iudicio	iudicium
dei	deus
apparet	appareo
caelo	caelum1
fulmina	fulmen
stringens	stringo
terra	terra
vertices	uertex
montium	mons
eructans	eructo
absumit	absumo
exurit	exuro
erogat	erogo
reparat	reparo2
manent	maneo
montes	mons
ardentes	ardeo
caelo	caelum1
tangitur	tango
salvus	saluus
igni	ignis
decinerescat	decino
testimonium	testimonium
ignis	ignis
aeterni	aeternus
exemplum	exemplum
iugis	iugum
iudicii	iudicium
poenam	poena
nutrientis	nutrio
montes	mons
uruntur	uro
durant	duro
nocentes	nocens
dei	deus
hostes	hostis
solis	solus
praesumptiones	praesumptio
vocantur	uoco
philosophis	philosophus1
poetis	poeta
summae	superus
scientiae	scientia
insignia	insigne
ingenia	ingenium
prudentes	prudens
inepti	ineptus
honorandi	honoro
inridendi	irrideo
amplius	amplus
puniendi	punio
falsa	falsum
tuentur	tueor
merito	merito2
praesumptio	praesumptio
attamen	attamen
necessaria	necessarius2
inepta	ineptus
attamen	attamen
utilia	utilis
siquidem	siquidem
meliores	bonus
coguntur	cogo
credunt	credo
metu	metus
aeterni	aeternus
supplicii	supplicium
spe	spes
aeterni	aeternus
refrigerii	refrigerium
expedit	expedio
falsa	falsus
inepta	ineptus
expedit	expedio
vera	uerus
praesumi	praesumo
titulo	titulus
damnari	damno
prosunt	prosum1
praesumptio	praesumptio
damnat	damno
utilia	utile
inepta	ineptus
falsa	falsus
inepta	ineptus
noxia	noxius
similia	similis
poenas	poena
inrogatis	irrogo
vanis	uanus
fabulosis	fabulosus
inaccusatis	inaccusatus
inpunitis	impunitus
innoxiis	innoxius
eiusmodi	eiusmodi
inrisui	irrisus
iudicandum	iudico
gladiis	gladius
ignibus	ignis
crucibus	crux
bestiis	bestia
iniquitate	iniquitas
saevitiae	saeuitia
caecum	caecus
vulgus	uulgus
exsultat	exsulto
insultat	insulto
favor	fauor
vulgi	uulgus
iniquitate	iniquitas
captatur	capto
gloriantur	glorior
totum	totus
arbitrium	arbitrium
velim	uolo3
christianus	christianus1
damnabis	damno
damnari	damno
velim	uolo3
velim	uolo3
voluntatis	uoluntas
potestatis	potestas
vulgus	uulgus
vane	uanus
vexatione	uexatio
gaudet	gaudeo
gaudium	gaudium
vindicat	uindico
malumus	malo
damnari	damno
deo	deus
excidere	excido1
oderunt	odi
dolere	doleo
gaudere	gaudeo
debebant	debeo
consecutis	consequor
elegimus	eligo3
inquitis	inquio
querimini	queror
insequamur	insequor
pati	patior
vultis	uolo3
diligere	diligo3
debeatis	debeo
patimini	patior
vultis	uolo3
volumus	uolo3
pati	patior
verum	uerum4
more	mos
bellum	bellum
miles	miles
libens	libens
patitur	patior
trepidare	trepido
periclitari	periclitor
necesse	necesse
proeliatur	proelior
viribus	uis
vincens	uinco
proelio	proelium
gaudet	gaudeo
proelio	proelium
querebatur	queror
gloriam	gloria
consequitur	consequor
praedam	praeda
proelium	proelium
provocamur	prouoco
tribunalia	tribunal
discrimine	discrimen
capitis	caput
veritate	ueritas
certemus	certo1
victoria	uictoria
certaveris	certo1
obtinere	obtineo
victoria	uictoria
gloriam	gloria
placendi	placeo
deo	deus
praedam	praeda
